artist	album	s3_url
#안녕	"오래된_노래_허각,_임한별,_이무진,_이진성_(먼데이_키즈),_김희재,_#안녕"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/#안녕-오래된_노래_허각,_임한별,_이무진,_이진성_(먼데이_키즈),_김희재,_#안녕.jpg"
#안녕	해요_(2022)_#안녕	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/#안녕-해요_(2022)_#안녕.jpg
(BIBI)	밤양갱_비비_(BIBI)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(BIBI)-밤양갱_비비_(BIBI).jpg
(ECLIPSE)	Run_Run_이클립스_(ECLIPSE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(ECLIPSE)-Run_Run_이클립스_(ECLIPSE).jpg
(ECLIPSE)	소나기_이클립스_(ECLIPSE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(ECLIPSE)-소나기_이클립스_(ECLIPSE).jpg
(GroovyRoom)	"Yes_or_No_(Feat._허윤진_of_LE_SSERAFIM,_Crush)_그루비룸_(GroovyRoom)"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(GroovyRoom)-Yes_or_No_(Feat._허윤진_of_LE_SSERAFIM,_Crush)_그루비룸_(GroovyRoom).jpg"
(HWASA)	I_Love_My_Body_화사_(HWASA)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(HWASA)-I_Love_My_Body_화사_(HWASA).jpg
(JAESSBEE)	너와의_모든_지금_재쓰비_(JAESSBEE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(JAESSBEE)-너와의_모든_지금_재쓰비_(JAESSBEE).jpg
(JENNIE)	Mantra_제니_(JENNIE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(JENNIE)-Mantra_제니_(JENNIE).jpg
(JENNIE)	You_&_Me_제니_(JENNIE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(JENNIE)-You_&_Me_제니_(JENNIE).jpg
(JENNIE)	like_JENNIE_제니_(JENNIE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(JENNIE)-like_JENNIE_제니_(JENNIE).jpg
(JISOO)	earthquake_지수_(JISOO)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(JISOO)-earthquake_지수_(JISOO).jpg
(MAKTUB)	시작의_아이_마크툽_(MAKTUB)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(MAKTUB)-시작의_아이_마크툽_(MAKTUB).jpg
(MARK)	1999_마크_(MARK)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(MARK)-1999_마크_(MARK).jpg
(MINNIE)	꿈결같아서_민니_(MINNIE)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(MINNIE)-꿈결같아서_민니_(MINNIE).jpg
(N.Flying)	네가_내_마음에_자리_잡았다_(Into_You)_엔플라잉_(N.Flying)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(N.Flying)-네가_내_마음에_자리_잡았다_(Into_You)_엔플라잉_(N.Flying).jpg
(N.Flying)	만년설_(Everlasting)_엔플라잉_(N.Flying)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(N.Flying)-만년설_(Everlasting)_엔플라잉_(N.Flying).jpg
(NEON)	Storm_김보경_(NEON)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(NEON)-Storm_김보경_(NEON).jpg
(ROS?)	number_one_girl_로제_(ROS?)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(ROS?)-number_one_girl_로제_(ROS?).jpg
(ROS?)	toxic_till_the_end_로제_(ROS?)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(ROS?)-toxic_till_the_end_로제_(ROS?).jpg
(SEVENTEEN)	"LOVE,_MONEY,_FAME_(feat._DJ_Khaled)_세븐틴_(SEVENTEEN)"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-LOVE,_MONEY,_FAME_(feat._DJ_Khaled)_세븐틴_(SEVENTEEN).jpg"
(SEVENTEEN)	THUNDER_세븐틴_(SEVENTEEN)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-THUNDER_세븐틴_(SEVENTEEN).jpg
(SEVENTEEN)	손오공_세븐틴_(SEVENTEEN)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-손오공_세븐틴_(SEVENTEEN).jpg
(SEVENTEEN)	음악의_신_세븐틴_(SEVENTEEN)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-음악의_신_세븐틴_(SEVENTEEN).jpg
(SEVENTEEN)	청바지_부석순_(SEVENTEEN)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-청바지_부석순_(SEVENTEEN).jpg
(SEVENTEEN)	청춘찬가_세븐틴_(SEVENTEEN)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-청춘찬가_세븐틴_(SEVENTEEN).jpg
(SEVENTEEN)	파이팅_해야지_(Feat._이영지)_부석순_(SEVENTEEN)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(SEVENTEEN)-파이팅_해야지_(Feat._이영지)_부석순_(SEVENTEEN).jpg
(TAEYEON)	Letter_To_Myself_태연_(TAEYEON)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(TAEYEON)-Letter_To_Myself_태연_(TAEYEON).jpg
(TAEYEON)	To._X_태연_(TAEYEON)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(TAEYEON)-To._X_태연_(TAEYEON).jpg
(TAEYEON)	꿈_태연_(TAEYEON)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(TAEYEON)-꿈_태연_(TAEYEON).jpg
(Woody)	사막에서_꽃을_피우듯_우디_(Woody)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(Woody)-사막에서_꽃을_피우듯_우디_(Woody).jpg
(Woody)	어제보다_슬픈_오늘_우디_(Woody)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(Woody)-어제보다_슬픈_오늘_우디_(Woody).jpg
