곡명,아티스트,상태
해요 (2022),#안녕,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
너에게 닿기를,10CM,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
봄눈,10CM,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
Armageddon,aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
Drama,aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
Live My Life,aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
Spicy,aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
Supernova,aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
UP (KARINA Solo),aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
Whiplash,aespa,"실패: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""img.rg_i""}
  (Session info: chrome=138.0.7204.101); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x7ff794ec6f75+76917]
	GetHandleVerifier [0x0x7ff794ec6fd0+77008]
	(No symbol) [0x0x7ff794c79dea]
	(No symbol) [0x0x7ff794cd0256]
	(No symbol) [0x0x7ff794cd050c]
	(No symbol) [0x0x7ff794d23887]
	(No symbol) [0x0x7ff794cf84af]
	(No symbol) [0x0x7ff794d2065c]
	(No symbol) [0x0x7ff794cf8243]
	(No symbol) [0x0x7ff794cc1431]
	(No symbol) [0x0x7ff794cc21c3]
	GetHandleVerifier [0x0x7ff79519d2ad+3051437]
	GetHandleVerifier [0x0x7ff795197903+3028483]
	GetHandleVerifier [0x0x7ff7951b589d+3151261]
	GetHandleVerifier [0x0x7ff794ee183e+185662]
	GetHandleVerifier [0x0x7ff794ee96ff+218111]
	GetHandleVerifier [0x0x7ff794ecfaf4+112628]
	GetHandleVerifier [0x0x7ff794ecfca9+113065]
	GetHandleVerifier [0x0x7ff794eb6c78+10616]
	BaseThreadInitThunk [0x0x7ffc7245e8d7+23]
	RtlUserThreadStart [0x0x7ffc7387c34c+44]
"
