노래제목,가수,가사,앨범커버,발매일
너에게 닿기를,10CM,"따사로운 햇살 속에서
종소리가 울려 퍼지네
뺨을 매만지는 바람
한숨만은 깊어져만 가고
저 멀리서 핑 도는 눈물
이름을 붙여준 내일
포개어지는 미래 빛 라인
천진난만한 이런 기분도
신이 나서 날아갈 정도로 웃었던 날도
사랑스럽고 소중하게 키울 수 있도록
어렵고 힘들었던 시간을 넘어서
아주 많은 처음을 주었잖아
이어져 가서는 닿기를
천진난만한 이런 기분도
신이 나서 날아갈 정도로 웃었던 날도
사랑스럽고 소중하게 키울 수 있도록
어렵고 힘들었던 시간을 넘어서
아주 많은 처음을 주었잖아
이어져 가서는
천진난만한 이런 기분도
신이 나서 날아갈 정도로 웃었던 날도
사랑스럽고 소중하게 키울 수 있도록
어렵고 힘들었던 시간을 넘어서
아주 많은 처음을 주었잖아
이어져 가서는
이어져 가서는 닿기를",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/10CM_너에게 닿기를.jpg,2025.03.06
Drowning,WOODZ,"미치도록 사랑했던
지겹도록 다투었던
네가 먼저 떠나고
여긴 온종일 비가 왔어
금세 턱 끝까지 차올랐고
숨이 막혀와
내 맘이란 추는 나를 더
깊게 더 깊게 붙잡아
Oh I’m drowning
It’s raining all day
I can't breathe
Oh oh I’m drowning
Oh I’m drowning
Oh I’m drowning
Oh I’m drowning
You’re taking my life from me
다 알면서 눈 감은 넌 왜
다정한 말로 나를 죽여놓고
날 누이고 너는 떠나갔지
You cut me bad,
I’m still waiting for you
너 떠나고 이곳은 잠겨 눈물로
날 너무 사랑했던 넌
어디로 흩어졌는지
내 맘이란 추는 나를 더
깊게 더 깊게 붙잡아
Oh I’m drowning
It’s raining all day
I can't breathe
Oh oh I’m drowning
Oh I’m drowning
Oh I’m drowning
Oh I’m drowning
You’re taking my life from me
더 깊이 빠져 죽어도 되니까
다시 한번만 돌아와 줄래
더 깊이 빠져 죽어도 되니까
다시 한번만
Oh I’m drowning
It’s raining all day
I can't breathe
Oh oh I’m drowning
Oh I’m drowning
Oh I’m drowning
Oh I’m drowning
You’re taking my life from me",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/WOODZ_Drowning.jpg,2023.04.26
Never Ending Story,아이유,"손 닿을 수 없는 저기 어딘가
오늘도 난 숨 쉬고 있지만
너와 머물던 작은 의자 위에
같은 모습의 바람이 지나네

너는 떠나며 마치 날 떠나가듯이
멀리 손을 흔들며
언젠가 추억에 남겨져 갈 거라고

그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를
힘겨워 한 날에 너를 지킬 수 없었던
아름다운 시절 속에 머문 그대이기에 

너는 떠나며 마치 날 떠나가듯이
멀리 손을 흔들며
언젠가 추억에 남겨져 갈 거라고

그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를
힘겨워 한 날에 너를 지킬 수 없었던
아름다운 시절 속에 머문 그대여

그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를
힘겨워 한 날에 너를 지킬 수 없었던
아름다운 시절 속에 머문 그대이기에",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/아이유_Never Ending Story.jpg,2025.05.27
모르시나요(PROD.로코베리),조째즈,"찬바람 불어오니
그대 생각에 눈물짓네
인사 없이 떠나시던 날
그리움만 남겨놓고
그리워 글썽이는 내 가슴속에
오늘 그대 수천 번은 다녀가시네
나는 목놓아 그대를 소리쳐 불러도
그댄 아무런 대답조차 하지 않네요..
기다리는 나를 왜 모르시나요
어느 계절마다 난 기다리는데
그저 소리 없이 울수록 서러워 서러워
돌아와요 나의 그대여
모르시나요
눈물은 한없이 쏟아져 내려도
슬픈 나의 두 눈은 끝내 마를 날 없네
나의 이별은 이토록 왜 가슴 시린지
왜 나 혼자만 이렇게 또 가슴 아픈지
기다리는 나를 왜 모르시나요
어느 계절마다 난 기다리는데
그저 소리 없이 울수록 서러워 서러워
돌아와요 나의 그대여
모르시나요..
찬바람 불어오니
그대 생각에 눈물짓네
인사 없이 떠나시던 날
그리움만 두고가네",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/조째즈_모르시나요PROD로코베리.jpg,2025.01.07
like JENNIE,제니 (JENNIE),"Come on, it’s gon be f*** hard

Special edition and your AI couldn’t copy 
I’m leaving clues in the fitting room and it’s hot tea 
No I’m not thinking ’bout no exes know they miss me 
I got the whole room spinning like it’s tipsy 

Don’t bore us take you to the chorus 
Whooooooo wanna rock with Jennie 
Keep your hair done, nails done like Jennie 
Who else got ‘em obsessed like Jennie 
Like like like 
Jennie Jennie Jennie 
I think I really like 
( Jennie Jennie Jennie )
Haters they don’t really like 
( Jennie Jennie Jennie )
Cause they can never ever be 
( Jennie Jennie Jennie )
But have you ever met 
Jennie Jennie Jennie Jennie 
Jennie 
It’s Jennie Jennie Jennie 
Jennie Jennie 
But have you ever met 
But have you ever met 
얼말 줘도 못해 서커스짓 
포징 한 번에 만들어 mosh pit 
They can't deal with me cause I’m priceless 
여러 셀럽들 속에 내 DNA 

Get get outta my way 
바비가 처키가 되기 전에
Name, shame, blame 
Tryna burst my bubble 
터트려봐 그럼 더 큰 홀에서
만나는 거야 제니를 

Keep shading 
예술작품엔 필요해 frame이 
I’ve slayed it, and I graved it 
Yes I'm guilty 잘난 게 죄니 
Whooooooo wanna rock with Jennie 
Keep you hair done, nails done like Jennie 
Who else got ’em obsessed like Jennie 
Like like like 
I think I really like Jennie 
Haters they don’t really like Jennie 
Cause they can never ever be Jennie 
But have you ever met 
Jennie Jennie Jennie 
Jennie Jennie Jennie Jennie 
It’s Jennie Jennie Jennie 
Jennie Jennie Jennie 
Jennie 
Like Jennie Jennie Jennie 
Jennie Jennie 
Rock with Jennie 
Keep your hair done, nails done like Jennie 
Who else got ’em obsessed like 
But have you ever met Jennie 
But have you ever met 
Jennie Jennie Jennie 
It’s Jennie Jennie Jennie Jennie",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/제니 JENNIE_like JENNIE.jpg,2025.03.07
시작의 아이,마크툽 (MAKTUB),"존재하는 이유
그런 건 아무래도 좋으니
그리 즐겁지도 괴롭지도 않은
바람아 불어라

달을 찾는 이유
예쁜 건 언제 봐도 좋으니
나는 세계의 시계를 부수고
너에게 닿는다

너와 함께 바라본
붕괴하는 세상의 반짝임을
그 찰나를 별의 시작이라고 부를 거야

시간의 중력으로는 우리의 모든 이야기를
따라잡을 수 없을 테니까

시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야

열 번의 기적처럼
널 가득 안은 채
그대로 멈춰라
내 하루에 번져가는 시작의 너

달이 예쁘다고
네게 말해줬던 그 밤은
너무 뜨겁지도 아쉽지도 않은
고요함이었지

너를 찾은 이유
어쩌면 찾지 않았을지도
사실 언제 만났어도 지금처럼 너를 좋아했을 거야

너와 함께 바라본
마주하는 눈빛의 반짝임을
그 찰나를 시작의 별이라고 부를 거야

처음 느낌 그대로
우리의 모든 이야기를
완성해낼 수 있을 테니까

시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야
백야의 하늘 아래
널 가득 안은 채
그대로 멈춰라 내 하루에 번져가는 시작의 너

숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 미래에 더 아파할 거야
언젠가 시간보다 늦었던 마음이 밉지 않도록
천 개의 바람으로 날아가 흩어지기 전에

내 모든 이름에
꿈의 흐름에
네가 새겨져 있는 걸
숨과 바람 사이 영원속에도
잠들지 않는 아이 아이야
만개의 계절 속에
태어나는 시작의 푸름으로 부르는 노래
널 사랑하는 나의 마음이야

숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 더 아파할 거야",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/마크툽 MAKTUB_시작의 아이.jpg,2025.01.01
어제보다 슬픈 오늘,우디 (Woody),"밤새도록 내리던 소낙비가 네 모습을 지울까
네가 떠난 어제보다도 난 오늘이 더 슬퍼지고

나의 창에 비친 아침 햇살이 어젯밤을 다 지울까
퉁퉁 부은 내 눈 속에는 아직 너를 보낸 눈물이

거울 속에 비친 내 모습은 괜찮다며 웃는데
거울 밖에 난 울고 있잖아

넌 괜찮니 지금도 나는 실감 나지 않는다
어제 네가 쓰던 컵이 아직 나와 둘이 앉아 있고

너의 사랑이 머물다 떠난
내 방안의 슬픔은 내 가슴에 스며
내게 어제보다 더 큰 아픔을 주네

밤새도록 힘들게 취한다고 네 모습을 잊을까
어제 네가 했던 이별 얘기는 도무지 기억이 안 나

내 얼굴에 드리운 아침 햇살 힘들게 나 눈을 뜨면
네가 없는 텅 빈 침대만이 내 이별을 말하네

거울 속에 비친 내 모습은 괜찮다며 웃는데
거울 밖에 난 울고 있잖아

넌 괜찮니 아직도 나는 믿어지지 않는다
문득 현관문을 열면 네가 웃으면서 올 것 같아

너의 사랑이 남겨진 여기
이 공간의 슬픔은 내 두 눈을 적셔
오늘 어제보다 더 큰 슬픔이 되어

넌 괜찮니 지금도 나는 실감 나지 않는다
어제 네가 쓰던 컵이 아직 나와 둘이 앉아 있고

너의 사랑이 머물다 떠난
내 방안의 슬픔은 내 가슴에 스며
내게 어제보다 더 큰 아픔을 주네

어제보다 더 오늘이 아프다",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/우디 Woody_어제보다 슬픈 오늘.jpg,2025.03.31
Whiplash,aespa,"One look give ‘em Whiplash
Beat drop with a big flash

집중해 좀 더
Think fast
이유 넌 이해 못 해
왜 이제야
Know I did that
Day 1 know I been bad
Don’t stop
흔들린 채
무리해도
Can’t touch that
(Can't touch that)

Under pressure,
body sweating
Can you focus
어디서나 거침없어
I’m the coldest
오직 나만이
이 판을 바꿀 Changer
Just close your eyes,
breathe in and visualize

One look give ‘em Whiplash
Beat drop with a big flash

집중해 좀 더
Think fast
이유 넌 이해 못 해
왜 이제야
Know I did that
Day 1 know I been bad
Don’t stop
흔들린 채
무리해도
Can’t touch that
(Can't touch that)

Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
One look give ‘em Whiplash

Fancy
이건 참 화려해
It’s glowing and it’s flashy
알아 적당함이 뭔지
Keep it classy
따라 하지
넌 또 하나부터 열까지
아닌척하지
Yeah

Under pressure,
body sweating
Can you focus
(Hoo)
I deliver, I can promise
I’m the coldest
(Cold)
외면해도 소용없지
Don't you blow it
Just close your eyes,
breathe in and visualize

시작되는 순간
끝나버린 판단
기횐 오직 One time
Unforgettable

찾아낸 The right light
사라지지 않아
눈에 새긴 One time
Unforgettable

One look give ‘em Whiplash
Beat drop with a big flash

집중해 좀 더
Think fast
이유 넌 이해 못 해
왜 이제야
Know I did that
Day 1 know I been bad
Don’t stop
흔들린 채
무리해도
Can’t touch that
(Can't touch that)

I’m the highlight
비춰 Red light
Yeah Tonight,
it's all about me
(All about me)
You know it’s my site 
거친 Next sigh
만들어갈 History

One look give ‘em Whiplash
(Whip-Whip)
Beat drop with a big flash
따라와 어서 Move fast
(Move move move)
이유 넌 이해 못 해
왜 이제야
Know I did that
(Did that)
Day 1 know I been bad
(Been bad)
Don’t stop
흔들린 채
다가와도
Can’t touch that
(Can't touch that)

Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
One look give ‘em Whiplash",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/aespa_Whiplash.jpg,2024.10.21
나는 반딧불,황가람,"나는 내가 빛나는 별인 줄 알았어요
한 번도 의심한 적 없었죠
몰랐어요 난 내가 벌레라는 것을
그래도 괜찮아 난 눈부시니까
하늘에서 떨어진 별인 줄 알았어요
소원을 들어주는 작은 별
몰랐어요 난 내가 개똥벌레라는 것을
그래도 괜찮아 나는 빛날 테니까
나는 내가 빛나는 별인 줄 알았어요
한 번도 의심한 적 없었죠
몰랐어요 난 내가 벌레라는 것을
그래도 괜찮아 난 눈부시니까
한참 동안 찾았던 내 손톱
하늘로 올라가 초승달 돼 버렸지
주워 담을 수도 없게 너무 멀리 갔죠
누가 저기 걸어놨어 누가 저기 걸어놨어
우주에서 무주로 날아온
밤하늘의 별들이 반딧불이 돼 버렸지
내가 널 만난 것처럼 마치 약속한 것처럼
나는 다시 태어났지 나는 다시 태어났지
나는 내가 빛나는 별인 줄 알았어요
한 번도 의심한 적 없었죠
몰랐어요 난 내가 벌레라는 것을
그래도 괜찮아 난 눈부시니까
하늘에서 떨어진 별인 줄 알았어요
소원을 들어주는 작은 별
몰랐어요 난 내가 개똥벌레란 것을
그래도 괜찮아 나는 빛날 테니까",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/황가람_나는 반딧불.jpg,2024.10.21
TOO BAD (feat. Anderson .Paak),G-DRAGON,"‘G’, ‘A.P’
“Let me kill ’em like I usually do, Man.” 

Check it How do you do?
‘Tiki-Taka’ 난무 
불이나 축이듯, 땀이 주르르르륵
빛 쬐, Beautiful (That’s cool) 
살짝쿵 손만 잡고 짝짝꿍 볼 맞장구
게슴츠르레, G’azm 오르게 
Dang, Is she that good?! 

Baby Girl! Too bad for me 
There you go! Toot that! As for me?
All I want! Is in arms’ reach 
Break me off! Passionately 
Baby Girl! Too bad for me
There you go! Toot that! As for me?
All I want! Is in arms’ reach 
Break me off! Passionately 

긴가민가 어딘가 아리까리해
Flirting인가? Bluffing인가? U got me bad 

MBTI가 SEXY TYPE 하니 내 색시나 해
GD be like that N.G M이 나이 Zett
“I don’t think so.”

Baby Girl! Too bad for me 
There you go! Toot that! As for me?
All I want! Is in arms’ reach 
Break me off! Passionately 
Baby Girl! Too bad for me 
There you go! Toot that! As for me?
All I want! Is in arms’ reach
Break me off! Passionately 

You do somethin’ (to me) 
The chills runnin’ (thru me) 
I feel somethin’ (pull me) 
I’m still runnin’ (til’ I reach) 
You do somethin’ (to me) 
The chills runnin’ (thru me) 
I feel somethin’ (pull me) 
I’m still runnin’ (til’ I reach)

Come do something to me 
Come do something to me 
Come do something to me 
Too hot to touch, Show me
Come do something to me 
Come do something to me 
Come do something to me 
1, 2, You Too. Shall we? 

Baby Girl! Too bad for me 
There you go! Toot that! As for me?
All I want! Is in arms’ reach 
Break me off! Passionately 
Baby Girl! Too bad for me 
There you go! Toot that! As for me?
All I want! Is in arms’ reach
Break me off! Passionately 

You do somethin’ (to me) 
The chills runnin’ (thru me) 
I feel somethin’ (pull me) 
I’m still runnin’ (til’ I reach) 
You do somethin’ (to me) 
The chills runnin’ (thru me) 
I feel somethin’ (pull me) 
I’m still runnin’ (til’ I reach) 

You do somethin’ 
The chills runnin’ 
I feel somethin’ 
I’m still runnin’ (til’ I reach) 
You do somethin’ 
The chills runnin’ 
I feel somethin’ 
I’m still runnin’",https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_cover/G-DRAGON_TOO BAD feat Anderson Paak.jpg,2025.02.25
